ProjectName,Release,MethodName,LOC,ParameterCount,CycloComplexity,CognitiveComplexity,NestingDepth,Revisions,Authors,TotalChurn,MaxChurn,AvgChurn,NumberOfCodeSmells,Bugginess
BOOKKEEPER,4.1.0,"hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigPublisher.java/publish(ByteString, Message)",38,2,8,6,4,13,4,375,45,12.58,0,yes
BOOKKEEPER,4.1.0,"hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigPublisher.java/asyncPublish(ByteString, Message, Callback, Object)",35,4,5,8,2,13,4,375,45,12.58,0,yes
BOOKKEEPER,4.1.0,"hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigPublisher.java/doPublish(PubSubData, Channel)",30,2,4,2,1,13,4,375,45,12.58,0,yes
BOOKKEEPER,4.1.0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigPublisher.java/storeHost2ChannelMapping(Channel),28,1,4,6,2,13,4,375,45,12.58,0,yes
BOOKKEEPER,4.1.0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigPublisher.java/getChannelForHost(InetSocketAddress),3,1,1,0,0,13,4,375,45,12.58,0,yes
BOOKKEEPER,4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/tools/BookKeeperTools.java/main(String[]),30,1,5,5,2,10,4,835,51,8.89,0,no
BOOKKEEPER,4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/CRC32DigestManager.java/getMacCodeLength(),3,0,1,0,0,4,3,33,9,6.00,0,no
BOOKKEEPER,4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/CRC32DigestManager.java/getValueAndReset(),7,0,1,0,0,4,3,33,9,6.00,0,no
BOOKKEEPER,4.1.0,"bookkeeper-server/src/main/java/org/apache/bookkeeper/client/CRC32DigestManager.java/update(byte[], int, int)",3,3,1,1,0,4,3,33,9,6.00,0,no
BOOKKEEPER,4.1.0,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/ChannelDisconnectListener.java/channelDisconnected(Channel),0,1,1,0,0,2,2,2,1,1.00,0,no
