ProjectName,Release,MethodName,LOC,ParameterCount,CycloComplexity,CognitiveComplexity,NestingDepth,Revisions,Authors,TotalChurn,MaxChurn,AvgChurn,NumberOfCodeSmells,Bugginess
STORM,0.9.0.1,src/jvm/storm/starter/spout/TwitterSampleSpout.java/isDistributed(),3,0,1,0,0,6,2,36,10,4.20,0,no
STORM,0.9.0.1,"src/jvm/storm/starter/spout/TwitterSampleSpout.java/open(Map, TopologyContext, SpoutOutputCollector)",31,3,1,0,0,6,2,36,10,4.20,0,no
STORM,0.9.0.1,src/jvm/storm/starter/spout/TwitterSampleSpout.java/onStatus(Status),3,1,1,0,0,6,2,36,10,4.20,0,no
STORM,0.9.0.1,src/jvm/storm/starter/spout/TwitterSampleSpout.java/onDeletionNotice(StatusDeletionNotice),2,1,1,0,0,6,2,36,10,4.20,0,no
STORM,0.9.0.1,src/jvm/storm/starter/spout/TwitterSampleSpout.java/onTrackLimitationNotice(int),2,1,1,0,0,6,2,36,10,4.20,0,no
STORM,0.9.0.1,"src/jvm/storm/starter/spout/TwitterSampleSpout.java/onScrubGeo(long, long)",2,2,1,0,0,6,2,36,10,4.20,0,no
STORM,0.9.0.1,src/jvm/storm/starter/spout/TwitterSampleSpout.java/onException(Exception),2,1,1,0,0,6,2,36,10,4.20,0,no
STORM,0.9.0.1,src/jvm/storm/starter/spout/TwitterSampleSpout.java/nextTuple(),8,0,2,2,1,6,2,36,10,4.20,0,no
STORM,0.9.0.1,src/jvm/storm/starter/spout/TwitterSampleSpout.java/close(),3,0,1,0,0,6,2,36,10,4.20,0,no
STORM,0.9.0.1,src/jvm/storm/starter/spout/TwitterSampleSpout.java/ack(Object),2,1,1,0,0,6,2,36,10,4.20,0,no
STORM,0.9.0.1,src/jvm/storm/starter/spout/TwitterSampleSpout.java/fail(Object),2,1,1,0,0,6,2,36,10,4.20,0,no
STORM,0.9.0.1,src/jvm/storm/starter/spout/TwitterSampleSpout.java/declareOutputFields(OutputFieldsDeclarer),3,1,1,0,0,6,2,36,10,4.20,0,no
STORM,0.9.0.1,src/jvm/storm/starter/PrintSampleStream.java/main(String[]),12,1,1,0,0,5,2,15,5,2.75,0,no
STORM,0.9.0.1,"src/jvm/storm/starter/ExclamationTopology.java/prepare(Map, TopologyContext, OutputCollector)",3,3,1,0,0,8,2,125,41,9.29,0,no
